set, name,gc02,gc03,gc04,gc05,gc06,gc07,gc08,gc09,gc10,gc11,gc12,dc02,dc03,dc04,dc05,dc06,dc07,dc08,dc09,dc10,dc11,dc12,specialty,s1,s2,s3,s4,s5,s6,prioritys,priorityt,subx,suby,tagx,tagy,oc02,oc03,oc04,oc05,oc06,oc07,oc08,oc09,oc10,oc11,oc12,ro02,ro03,ro04,ro05,ro06,ro07,ro08,ro09,ro10,ro11,ro12,division,promotion,template
SuperSet '83,83_01AbdulTB,OC/TT,OC,DC,DC,OC,OC,DC,OC,OC,DC,DC,A,Reverse,B,B,A,A,B,B,A,C,B,Foreign Objects,10 P/A,12,12,8,10,8,3,1,2,6,6,12,Ropes,Throw Out Of Ring (DQ),Bite Opponent's Neck 7,Foreign Objects (S),Choke Against Ropes 8,Forearm Smashes 6,Wild Elbow To Face 7 (xx),Knee To Groin 9,Ram Head Into Bell 7,Nerve Pinch 8 P/A,Tear At Chest Hair 8,Throw Out Of The Ring (DQ),Throw Out Of Ring (DQ),Throw Out Of Ring (DQ),Bodyslam Into Crowd 10,N/A,Knee Smash To Pelvis 6,Cross Body Block 7,Choke Against Ropes 10,N/A,Forearm To Nose 6,N/A,Super Heavyweight,WWC,true
SuperSet '83,83_02AndrTG,DC,DC,DC,OC,OC,OC,OC,OC/TT,DC,DC,OC,A,Reverse,B,C,B,A,A,B,B,C,A,Big Squash,15 P/A,14 P/A,13 P/A,13 P/A,14,15,5,2,2,0,8,12,Ropes,Throw Into Turnbuckle 9,Bearhug 8*,French Head Butt 8 (xx),Arm Twist 6,Giant Power Slam 9,Kick To Face 7,Suplex 8,Flying Body Press 9 P/A,Big Squash (S),Sit Foe On Top Rope 10,Throw Thru Ropes (DQ),Smash Into Turnbuckle 8,N/A,Body Block 6 P/A,N/A,Body Slam 7 P/A,Body Slam 8 P/A,Redwood Knee Drive 10,Bearhug 9*,Bearhug 9*,Bearhug 10*,Super Heavyweight,WWF,true
SuperSet '83,83_03BobbyB,DC,OC,DC,OC,OC,OC,OC,DC,DC,OC/TT,OC,B,B,A,A,A,A,C,Reverse,B,B,A,Chicken Wing,10,9*,10,9*,12,10*,5,1,2,3,2,5,Suplex 11 P/A,Spin Under Take Down 8,Chicken Wing (S),Cross Ankle Pick Up 6 (xx),Atomic Spine Crusher 9,Monkey Flip 8 P/A,Vertical Shoulder Block 7,Body Slam 8 P/A,Reverse Backbridge 9*,Hammer Lock 8,Ropes,Throw Out Of Ring (DQ),N/A,Monkey Flip 6,Shoulder Block 8,Back Drop 7,Chicken Wing (S),Arm Drag 7,Body Slam 9 P/A,Kick To Kneecap 8,N/A,Chicken Wing (S),World Champion,WWF,true
SuperSet '83,83_04CrushBlack,DC,DC,DC,DC,OC,DC,OC,OC,OC/TT,OC,OC,A,A,A,A,A,B,B,C,B,Reverse,B,Big Squash,12,10 P/A,10,10,14,12,3,2,2,5,2,6,Crushing Headlock 10,Inverted Bearhug 10,Spin Under Takedown 6,Big Squash (S),Body Slam 8,Airplane Spin 6,Kick To Short Rib 7,Back Breaker 5 (xx),Shoulder To Midsection 8,Aerial Kneedrop 6 P/A,Ropes,N/A,Big Squash (S),Big Squash (S),Big Squash (S),N/A,Kneedrop Off Top Rope 5,N/A,Cross Bodyblock 8,Shoulder Smash 6,N/A,N/A,Super Heavyweight,AWA,true
SuperSet '83,83_05NickBock,DC,DC,DC,OC/TT,OC,OC,OC,DC,OC,DC,OC,B,B,A,A,C,A,Reverse,A,B,B,A,Sleeper,10*,12,12*,12,12,10*,5,2,2,3,7,12,Toss Thru Ropes (DQ),Dropkicks 9,Sleeper (S),Body Slam 8,Standing Arm Lock 7,Continuous Forearms 8,Hip Roll 7 (xx),Knee Slam To Lower Back 6,Piledriver 9 P/A,Interference By Heenan 10,Ropes,N/A,Sleeper (S),Sleeper (S),N/A,N/A,Kick To Rib Cage 8,Flying Shoulder Smash 7,Cross Body Block 7 P/A,Spin Under Take Down 6,Throw Out Of Ring (DQ),Choke Hold By Heenan 7,World Champion,AWA,true
SuperSet '83,83_06JackBris,OC,OC,DC,OC,DC,OC,OC/TT,DC,DC,OC,OC,B,A,C,Reverse,A,A,B,A,A,B,B,Figure-four Leglock,12,10*,8,10,8,12*,4,3,2,4,8,12,Ropes,Dropkick To Face 9,Half Boston Crab 9,Win Test Of Strength 8,Forearm Smashes 6,Arm Drag And Twist 7,Full Nelson 6,Back Suplex 9 (xx),Figure-four Leglock (S),Sleeper 8*,Monkey Flip 5 P/A,Aerial Backdrop 5,Hip Roll 10,N/A,N/A,Shoulder Smash 6,Dropkicks 6,N/A,Cross Body Block 10,N/A,Sleeper 8*,Reverse Cradle 6 P/A,Legend,Mid Atlantic,true
SuperSet '83,83_07DTBruiser,OC,DC,DC,DC,DC,OC,OC,OC,OC/TT,OC,DC,B,A,A,C,B,A,A,Reverse,B,B,A,Kneedrop,15,10,10,12,10 P/A,15,3,2,2,6,2,7,Ram Head Into Ringpost 6,Shoulder Flip 7,Stomp Opponent 6,Kneedrop (S),Standing Armlock 7,Bodyslam Onto Ropes 8,Elbow Smash To Throat 9,Headlock 6 (xx),Smash With Chair 10,Ropes,Piledriver 6 P/A,N/A,Throw Out Of Ring (DQ),N/A,Jump Off Top Rope 10,Body Smash 7,Shoulder Flip 6,Kick To Knee Cap 6,N/A,Spin Under Takedown 8,N/A,N/A,Legend,AWA,true
SuperSet '83,83_08TedDiB,OC,DC,DC,DC,DC,OC,OC/TT,OC,OC,OC,OC,A,B,Reverse,B,A,A,A,B,B,C,A,Abdominal Stretch,12,10,8*,8*,9,11,3,3,2,6,7,12,Bearhug 8*,Slash With Foreign Object 9,Choke Against Ropes 8,Dropkicks 7,Flying Body Press 7,Slam Into Turnbuckle 8,Figure Four Leglock 7 (xx),Abdominal Stretch (S),Leg-dive Take Down 8,Shoulder Block 6,Ropes,Throw Out Of Ring (DQ),N/A,N/A,N/A,Dropkick Into Crowd (DQ),Shoulder Smash 8,Cross Body Block 9,N/A,N/A,Flying Body Press 5 P/A,Reverse Cradle 8 P/A,Young Star,Mid South,true
SuperSet '83,83_09RicFl,DC,OC,DC,DC,OC,OC,OC/TT,OC,OC,DC,DC,A,A,B,Reverse,C,A,A,B,B,A,B,Figure-Four Leglock,12,10*,12,11*,10*,13,5,3,2,3,2,7,Back Slide 10,Front Cradle 9 P/A,Piledriver 8,Snap Mare 8,Horizontal Full Nelson 7,Leg-Dive Take-Down 7,Smash To Face 8 (xx),Figure-Four Leglock (S),Bow & Arrow 7*,Abdominal Stretch 6,Ropes,Inside Cradle 9 P/A,N/A,Chop to Throat 7,Illegal Use of Ropes 8,N/A,Chop To Throat 7,Flying Elbow 10,Jump Off Top Rope 7 P/A,Throw Out Of Ring (DQ),N/A,N/A,World Champion,NWA,true
SuperSet '83,83_10MrFu,OC,OC,DC,DC,DC,OC/TT,OC,DC,OC,OC,OC,Reverse,C,A,A,A,A,A,B,B,B,B,Martial Arts,9 P/A,10,9,8*,9,10,3,3,2,7,2,9,Side-kick To Throat 8,Ropes,Claw Hold 7,Double Head Smash 6 (xx),Kick To Groin 7,Osakan Chop To Ribcage 7,Elbow Smash 5,Japanese Choke Hold 6,Martial Arts (S),Ram Head Into Turnbuckle 6,Throw Salt Into Eyes 10*,N/A,N/A,Judo Chop To Stomach 5,Backdrop 5,N/A,Shoulder Smash 6,N/A,Elbow To Throat 8,Judo Chop To Face 10,N/A,Throw Salt Into Eyes 12*,Veteran,WWF,true
SuperSet '83,83_11DoryFJr,DC,DC,OC,DC,OC,OC,OC,OC/TT,DC,DC,OC,A,B,B,C,A,A,A,Reverse,B,B,A,Spinning Toe Hold,12,10 P/A,15 P/A,12,12,10,4,2,2,4,2,7,Ropes,Cross Ankle Pickup 7,Boston Crab 10,Ram Head Into Steel Post 6,Standing Leg Lock 5 (xx),Armdrag 6,Shoulder Smash 7,Spinning Toe Hold (S),Sleeperhold 9*,Belly To Back Suplex 10,Stomp Head Into Canvas 10,Throw Out Of Ring (DQ),N/A,Jump Off Top Rope 6 P/A,N/A,Cross Body Block 6,Inverted Bodyslam 7,Shoulder Smash 7,N/A,Spinning Toe Hold (S),N/A,Bodyslam Onto Concrete (DQ),Legend,Mid Atlantic,true
